127.0.0.1 - - [19/Oct/2021:21:50:27 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:28:10 -0300] "GET /supermercado/operadores HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:28:11 -0300] "GET /supermercado/operadores HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:28:15 -0300] "GET /supermercado HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:28:15 -0300] "GET /supermercado/ HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:28:22 -0300] "GET /supermercado/clientes HTTP/1.1" 200 644
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:28:28 -0300] "GET /supermercado/produtos HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:28:34 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:28:51 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:29:06 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:29:28 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:30:20 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:30:21 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:30:22 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:30:22 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:30:23 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:46:38 -0300] "GET /supermercado/pedidos HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:46:40 -0300] "GET /supermercado/pedidos HTTP/1.1" 404 787
